date,symbol,topics_active_24h,topics_new_24h,sum_posts,sum_views
2026-07-06,ACB,3,0,995,414693
2026-07-06,ANV,1,0,283,776320
2026-07-06,BAF,0,0,1032,1249641
2026-07-06,BCM,0,0,218,554941
2026-07-06,BID,1,0,393,177814
2026-07-06,BMP,3,0,567,720060
2026-07-06,BSI,3,0,1330,986976
2026-07-06,BSR,1,0,172,103922
2026-07-06,BVH,0,0,307,518455
2026-07-06,BWE,0,0,254,386206
2026-07-06,CII,3,1,1572,216855
2026-07-06,CMG,2,0,758,864679
2026-07-06,CTD,0,0,400,494786
2026-07-06,CTG,0,0,538,444651
2026-07-06,CTR,0,0,0,0
2026-07-06,CTS,6,0,1805,807752
2026-07-06,DBC,0,0,487,616177
2026-07-06,DCM,0,0,896,438745
2026-07-06,DGW,0,0,254,478603
2026-07-06,DIG,4,1,7839,3759554
2026-07-06,DPM,1,0,1167,525953
2026-07-06,DSE,0,0,0,0
2026-07-06,DXG,5,0,5011,1969780
2026-07-06,DXS,0,0,325,826528
2026-07-06,EIB,0,0,611,607838
2026-07-06,EVF,0,0,229,218039
2026-07-06,FPT,1,0,479,230752
2026-07-06,FRT,0,0,185,319703
2026-07-06,FTS,3,0,999,643260
2026-07-06,GAS,0,0,400,240863
2026-07-06,GEE,0,0,235,198208
2026-07-06,GEX,2,0,1429,600150
2026-07-06,GMD,1,1,275,308642
2026-07-06,GVR,1,0,1181,593746
2026-07-06,HAG,0,0,365,835744
2026-07-06,HCM,4,1,1292,462778
2026-07-06,HDB,1,0,114,124846
2026-07-06,HDC,0,0,6078,3722775
2026-07-06,HDG,2,0,305,220027
2026-07-06,HHV,0,0,674,773167
2026-07-06,HPG,7,4,3065,1539247
2026-07-06,HSG,1,0,4113,2292099
2026-07-06,HT1,0,0,229,539108
2026-07-06,IMP,0,0,229,393508
2026-07-06,KBC,0,0,273,460775
2026-07-06,KDC,0,0,79,175834
2026-07-06,KDH,1,0,1583,279178
2026-07-06,KOS,0,0,31,22953
2026-07-06,LPB,0,0,490,249542
2026-07-06,MBB,2,1,2587,1303589
2026-07-06,MSB,0,0,262,258648
2026-07-06,MSN,3,1,624,256011
2026-07-06,MWG,2,1,1873,658483
2026-07-06,NAB,1,0,186,432624
2026-07-06,NKG,0,0,537,469200
2026-07-06,NLG,0,0,6676,3183223
2026-07-06,NT2,0,0,133,441690
2026-07-06,NVL,2,0,4472,1718822
2026-07-06,OCB,1,0,387,634405
2026-07-06,PAN,0,0,640,938035
2026-07-06,PC1,0,0,133,103939
2026-07-06,PDR,3,0,913,488417
2026-07-06,PHR,0,0,278,346856
2026-07-06,PLX,0,0,277,242019
2026-07-06,PNJ,6,2,916,503349
2026-07-06,POW,1,0,157,91276
2026-07-06,PVD,1,0,2483,1208831
2026-07-06,PVT,0,0,430,304110
2026-07-06,REE,0,0,112,88217
2026-07-06,SAB,0,0,117,653568
2026-07-06,SBT,0,0,147,216017
2026-07-06,SCS,0,0,301,766917
2026-07-06,SHB,1,0,2601,1524427
2026-07-06,SIP,0,0,338,844811
2026-07-06,SJS,0,0,299,243795
2026-07-06,SSB,0,0,36,148482
2026-07-06,SSI,4,1,3138,1804405
2026-07-06,STB,6,2,4847,2568495
2026-07-06,SZC,0,0,269,608822
2026-07-06,TCB,1,1,511,409205
2026-07-06,TCH,1,0,503,427207
2026-07-06,TPB,0,0,279,351978
2026-07-06,VCB,3,0,2908,1691331
2026-07-06,VCG,1,1,768,578961
2026-07-06,VCI,6,1,3317,1885051
2026-07-06,VGC,3,0,140,434586
2026-07-06,VHC,0,0,187,630068
2026-07-06,VHM,2,0,386,157302
2026-07-06,VIB,1,0,390,766022
2026-07-06,VIC,3,1,546,257890
2026-07-06,VIX,1,0,1478,998457
2026-07-06,VJC,1,0,2438,1766974
2026-07-06,VND,3,0,2946,1409502
2026-07-06,VNM,1,0,417,492241
2026-07-06,VPB,0,0,228,192009
2026-07-06,VPI,0,0,39,91700
2026-07-06,VPL,0,0,0,0
2026-07-06,VRE,1,0,266,157787
2026-07-06,VSC,0,0,668,733697
2026-07-06,VTP,0,0,531,693154
