date,symbol,fol_pct,room_used_pct,current_room,total_room,foreign_net_value,foreign_buy_value,foreign_sell_value,turnover_value,match_price
2026-07-07,ACB,33.9,81.9,315140314,1741326587,-3390143000,23358355000,26748498000,286481.47,22200
2026-07-07,ANV,49.0,6.59,122051596,130667075,-1288490000,436650000,1725140000,17171.91,20400
2026-07-07,BAF,50.0,5.35,143885429,152010821,1012555000,2044585000,1032030000,20752.645,29850
2026-07-07,BCM,34.0,2.41,343405275,351900000,264290000,380660000,116370000,23619.46,50300
2026-07-07,BID,30.0,58.66,902972396,2184019563,-46859689200,10608715400,57468404600,233823.99,41350
2026-07-07,BMP,100.0,81.56,15091845,81860938,3669900000,4321740000,651840000,17603.82,149000
2026-07-07,BSI,110.0,35.6,173806110,269901549,4811055000,5404165000,593110000,51747.47,35200
2026-07-07,BSR,49.0,2.23,2398861475,2453576846,-46471630000,6682380000,53154010000,254342.08,23500
2026-07-07,BVH,49.0,55.57,161618158,363738154,-6262930000,5620810000,11883740000,52259.45,60000
2026-07-07,BWE,49.0,4.9,102479175,107765035,-135550000,9035000,144585000,3062.245,45200
2026-07-07,CII,40.0,8.94,244764016,268794116,511180000,8166865000,7655685000,328165.48,16550
2026-07-07,CMG,50.0,73.1,31329305,116477304,182210000,263905000,81695000,5852.79,27150
2026-07-07,CTD,49.0,94.49,3077410,55872968,24635624100,25474372100,838748000,69465.5,70300
2026-07-07,CTG,30.0,82.28,412775244,2330083391,5632515650,33696845000,28064329350,363668.835,34150
2026-07-07,CTR,49.0,8.79,51124307,56049080,-3778530000,1610840000,5389370000,27229.87,83900
2026-07-07,CTS,49.0,1.53,102621535,104219784,11351924200,11379674200,27750000,120994.135,27050
2026-07-07,DBC,49.0,2.99,204890686,211212784,-480675200,1825000,482500200,43024.635,18200
2026-07-07,DCM,49.0,14.32,222252346,259406000,-40120045000,3571860000,43691905000,110369.725,34550
2026-07-07,DGW,49.0,47.33,57115711,108446882,-9982940000,591110000,10574050000,32643.095,39000
2026-07-07,DIG,49.0,3.38,377075567,390251283,1072910950,1143750000,70839050,77909.29,11900
2026-07-07,DPM,50.0,7.53,314387389,339995380,-14610595000,1837810000,16448405000,67678.045,22400
2026-07-07,DSE,100.0,10.64,382690221,428249806,-1653730000,6840000,1660570000,15416.39,22850
2026-07-07,DXG,50.0,37.34,397845183,634926225,1732153000,3097080000,1364927000,95366.93,11900
2026-07-07,DXS,50.0,13.73,249791141,289551562,347522000,347522000,0,9876.384,6810
2026-07-07,EIB,29.97,7.71,516889594,560090574,-29328700000,5416740000,34745440000,162727.49,20000
2026-07-07,EVF,15.0,1.96,111852073,114084870,-813310000,750240000,1563550000,71582.13,12700
